Timestamp,Channel1,Channel2,Action1,Action2
0.0,535.0,508.0,Rest,
0.174,535.0,510.0,Rest,
0.175,535.0,512.0,Rest,
0.175,535.0,512.0,Rest,
0.175,534.0,511.0,Rest,
0.175,532.0,510.0,Rest,
0.176,531.0,510.0,Rest,
0.176,530.0,510.0,Rest,
0.176,530.0,509.0,Rest,
0.176,530.0,508.0,Rest,
0.176,529.0,508.0,Rest,
0.176,528.0,508.0,Rest,
0.177,528.0,508.0,Rest,
0.177,529.0,509.0,Rest,
0.177,529.0,509.0,Rest,
0.177,531.0,510.0,Rest,
0.177,531.0,511.0,Rest,
0.177,532.0,511.0,Rest,
0.178,533.0,511.0,Rest,
0.178,534.0,512.0,Rest,
0.178,534.0,514.0,Rest,
0.178,534.0,516.0,Rest,
0.178,535.0,516.0,Rest,
0.178,536.0,516.0,Rest,
0.178,535.0,515.0,Rest,
0.179,534.0,513.0,Rest,
0.179,532.0,512.0,Rest,
0.179,531.0,512.0,Rest,
0.179,532.0,512.0,Rest,
0.179,532.0,511.0,Rest,
0.179,532.0,511.0,Rest,
0.18,531.0,510.0,Rest,
0.18,531.0,509.0,Rest,
0.18,531.0,509.0,Rest,
0.18,530.0,508.0,Rest,
0.18,529.0,507.0,Rest,
0.18,529.0,505.0,Rest,
0.181,528.0,505.0,Rest,
0.181,528.0,504.0,Rest,
0.181,528.0,503.0,Rest,
0.181,527.0,503.0,Rest,
0.181,528.0,504.0,Rest,
0.181,528.0,505.0,Rest,
0.181,529.0,505.0,Rest,
0.182,529.0,506.0,Rest,
0.182,529.0,505.0,Rest,
0.182,530.0,505.0,Rest,
0.182,530.0,505.0,Rest,
0.182,530.0,505.0,Rest,
0.182,530.0,506.0,Rest,
0.183,530.0,507.0,Rest,
0.183,530.0,507.0,Rest,
0.183,530.0,507.0,Rest,
0.183,529.0,507.0,Rest,
0.183,529.0,509.0,Rest,
0.183,528.0,511.0,Rest,
0.183,528.0,512.0,Rest,
0.184,526.0,511.0,Rest,
0.184,526.0,509.0,Rest,
0.184,525.0,506.0,Rest,
0.184,524.0,504.0,Rest,
0.184,523.0,502.0,Rest,
0.184,522.0,499.0,Rest,
0.185,520.0,497.0,Rest,
0.185,519.0,496.0,Rest,
0.185,518.0,497.0,Rest,
0.185,518.0,500.0,Rest,
0.185,518.0,504.0,Rest,
0.185,519.0,507.0,Rest,
0.185,519.0,508.0,Rest,
0.186,520.0,509.0,Rest,
0.186,521.0,512.0,Rest,
0.186,521.0,514.0,Rest,
0.186,521.0,516.0,Rest,
0.186,521.0,517.0,Rest,
0.186,521.0,518.0,Rest,
0.186,522.0,518.0,Rest,
0.187,521.0,517.0,Rest,
0.187,521.0,516.0,Rest,
0.187,522.0,514.0,Rest,
0.187,522.0,513.0,Rest,
0.187,522.0,512.0,Rest,
0.188,522.0,511.0,Rest,
0.188,521.0,510.0,Rest,
0.188,521.0,509.0,Rest,
0.188,521.0,507.0,Rest,
0.188,522.0,506.0,Rest,
0.188,521.0,505.0,Rest,
0.189,520.0,504.0,Rest,
0.189,519.0,505.0,Rest,
0.189,518.0,505.0,Rest,
0.189,517.0,504.0,Rest,
0.189,516.0,505.0,Rest,
0.189,516.0,505.0,Rest,
0.19,516.0,503.0,Rest,
0.19,517.0,501.0,Rest,
0.19,517.0,498.0,Rest,
0.19,516.0,498.0,Rest,
0.19,516.0,500.0,Rest,
0.19,519.0,503.0,Rest,
0.191,520.0,505.0,Rest,
0.191,520.0,507.0,Rest,
0.191,520.0,508.0,Rest,
0.191,520.0,508.0,Rest,
0.191,520.0,507.0,Rest,
0.191,520.0,506.0,Rest,
0.191,520.0,505.0,Rest,
0.192,519.0,505.0,Rest,
0.192,517.0,507.0,Rest,
0.192,516.0,509.0,Rest,
0.192,515.0,508.0,Rest,
0.192,514.0,507.0,Rest,
0.192,514.0,507.0,Rest,
0.192,514.0,507.0,Rest,
0.193,513.0,506.0,Rest,
0.193,512.0,506.0,Rest,
0.193,513.0,507.0,Rest,
0.193,514.0,508.0,Rest,
0.193,514.0,508.0,Rest,
0.193,514.0,507.0,Rest,
0.194,514.0,506.0,Rest,
0.194,515.0,505.0,Rest,
0.194,514.0,505.0,Rest,
0.194,514.0,506.0,Rest,
0.194,513.0,507.0,Rest,
0.194,514.0,508.0,Rest,
0.195,514.0,507.0,Rest,
0.195,514.0,507.0,Rest,
0.195,514.0,506.0,Rest,
0.195,514.0,506.0,Rest,
0.195,513.0,505.0,Rest,
0.195,513.0,504.0,Rest,
0.195,513.0,504.0,Rest,
0.196,514.0,505.0,Rest,
0.196,514.0,505.0,Rest,
0.196,513.0,505.0,Rest,
0.196,512.0,505.0,Rest,
0.196,511.0,505.0,Rest,
0.196,510.0,504.0,Rest,
0.197,510.0,504.0,Rest,
0.197,510.0,504.0,Rest,
0.197,509.0,503.0,Rest,
0.197,510.0,502.0,Rest,
0.197,510.0,501.0,Rest,
0.197,510.0,501.0,Rest,
0.197,511.0,502.0,Rest,
0.198,511.0,503.0,Rest,
0.198,512.0,504.0,Rest,
0.198,512.0,505.0,Rest,
0.198,513.0,505.0,Rest,
0.198,514.0,505.0,Rest,
0.198,514.0,504.0,Rest,
0.198,514.0,503.0,Rest,
0.199,515.0,504.0,Rest,
0.199,515.0,505.0,Rest,
0.199,515.0,505.0,Rest,
0.199,515.0,508.0,Rest,
0.199,515.0,511.0,Rest,
0.199,514.0,513.0,Rest,
0.199,513.0,513.0,Rest,
0.2,514.0,511.0,Rest,
0.2,513.0,508.0,Rest,
0.2,514.0,506.0,Rest,
0.2,514.0,504.0,Rest,
0.2,513.0,502.0,Rest,
0.2,513.0,501.0,Rest,
0.201,512.0,501.0,Rest,
0.201,512.0,502.0,Rest,
0.201,511.0,505.0,Rest,
0.201,510.0,509.0,Rest,
0.201,510.0,512.0,Rest,
0.201,510.0,514.0,Rest,
0.201,511.0,516.0,Rest,
0.202,512.0,516.0,Rest,
0.202,512.0,517.0,Rest,
0.202,513.0,517.0,Rest,
0.202,514.0,517.0,Rest,
0.202,516.0,517.0,Rest,
0.202,516.0,517.0,Rest,
0.203,516.0,517.0,Rest,
0.204,517.0,518.0,Rest,
0.204,517.0,520.0,Rest,
0.204,517.0,520.0,Rest,
0.204,517.0,521.0,Rest,
0.205,518.0,521.0,Rest,
0.205,518.0,520.0,Rest,
0.205,517.0,518.0,Rest,
0.205,516.0,516.0,Rest,
0.205,515.0,513.0,Rest,
0.206,514.0,511.0,Rest,
0.206,514.0,509.0,Rest,
0.206,513.0,507.0,Rest,
0.206,513.0,505.0,Rest,
0.206,513.0,503.0,Rest,
0.207,513.0,503.0,Rest,
0.207,512.0,502.0,Rest,
0.207,512.0,502.0,Rest,
0.207,512.0,504.0,Rest,
0.208,512.0,506.0,Rest,
0.208,513.0,507.0,Rest,
0.208,513.0,508.0,Rest,
0.208,513.0,509.0,Rest,
0.209,513.0,511.0,Rest,
0.209,513.0,511.0,Rest,
0.21,513.0,511.0,Rest,
0.21,513.0,511.0,Rest,
0.21,514.0,511.0,Rest,
0.21,514.0,512.0,Rest,
0.21,514.0,512.0,Rest,
0.211,514.0,512.0,Rest,
0.211,513.0,511.0,Rest,
0.211,513.0,509.0,Rest,
0.211,513.0,509.0,Rest,
0.211,513.0,508.0,Rest,
0.211,512.0,507.0,Rest,
0.212,512.0,506.0,Rest,
0.212,512.0,505.0,Rest,
0.212,512.0,504.0,Rest,
0.212,511.0,504.0,Rest,
0.212,510.0,504.0,Rest,
0.213,511.0,503.0,Rest,
0.213,512.0,503.0,Rest,
0.213,512.0,503.0,Rest,
0.213,512.0,503.0,Rest,
0.213,512.0,503.0,Rest,
0.214,512.0,505.0,Rest,
0.214,513.0,506.0,Rest,
0.214,513.0,507.0,Rest,
0.214,513.0,509.0,Rest,
0.214,513.0,510.0,Rest,
0.214,513.0,512.0,Rest,
0.215,512.0,512.0,Rest,
0.215,511.0,510.0,Rest,
0.215,512.0,509.0,Rest,
0.215,512.0,508.0,Rest,
0.216,512.0,506.0,Rest,
0.216,511.0,502.0,Rest,
0.216,512.0,500.0,Rest,
0.216,513.0,497.0,Rest,
0.216,512.0,494.0,Rest,
0.217,509.0,493.0,Rest,
0.217,508.0,496.0,Rest,
0.217,509.0,499.0,Rest,
0.217,510.0,502.0,Rest,
0.218,510.0,506.0,Rest,
0.218,510.0,507.0,Rest,
