Timestamp,Channel1,Channel2,Action1,Action2
0.0,512.0,520.0,Rest,
0.066,511.0,521.0,Rest,
0.066,511.0,522.0,Rest,
0.067,511.0,524.0,Rest,
0.067,511.0,525.0,Rest,
0.067,511.0,527.0,Rest,
0.067,514.0,527.0,Rest,
0.067,517.0,525.0,Rest,
0.067,513.0,523.0,Rest,
0.067,511.0,521.0,Rest,
0.067,508.0,519.0,Rest,
0.067,505.0,521.0,Rest,
0.067,503.0,522.0,Rest,
0.067,502.0,524.0,Rest,
0.068,500.0,524.0,Rest,
0.068,499.0,526.0,Rest,
0.068,500.0,528.0,Rest,
0.068,500.0,530.0,Rest,
0.068,502.0,531.0,Rest,
0.068,505.0,531.0,Rest,
0.068,508.0,530.0,Rest,
0.068,510.0,529.0,Rest,
0.068,510.0,526.0,Rest,
0.068,508.0,523.0,Rest,
0.068,507.0,521.0,Rest,
0.068,506.0,521.0,Rest,
0.069,504.0,521.0,Rest,
0.069,502.0,522.0,Rest,
0.069,503.0,523.0,Rest,
0.069,503.0,525.0,Rest,
0.069,504.0,525.0,Rest,
0.069,506.0,527.0,Rest,
0.069,509.0,526.0,Rest,
0.069,511.0,522.0,Rest,
0.069,512.0,519.0,Rest,
0.069,511.0,516.0,Rest,
0.069,509.0,513.0,Rest,
0.069,506.0,512.0,Rest,
0.07,505.0,511.0,Rest,
0.07,503.0,511.0,Rest,
0.07,502.0,511.0,Rest,
0.07,502.0,511.0,Rest,
0.07,501.0,511.0,Rest,
0.07,503.0,512.0,Rest,
0.07,506.0,513.0,Rest,
0.07,509.0,512.0,Rest,
0.07,512.0,511.0,Rest,
0.07,512.0,508.0,Rest,
0.07,510.0,505.0,Rest,
0.07,508.0,503.0,Rest,
0.071,505.0,503.0,Rest,
0.071,504.0,503.0,Rest,
0.071,503.0,503.0,Rest,
0.071,502.0,503.0,Rest,
0.071,503.0,502.0,Rest,
0.071,503.0,503.0,Rest,
0.071,506.0,504.0,Rest,
0.071,507.0,505.0,Rest,
0.071,510.0,504.0,Rest,
0.071,512.0,504.0,Rest,
0.071,511.0,503.0,Rest,
0.072,510.0,500.0,Rest,
0.072,509.0,499.0,Rest,
0.072,511.0,499.0,Rest,
0.072,513.0,500.0,Rest,
0.072,513.0,500.0,Rest,
0.072,514.0,500.0,Rest,
0.072,512.0,501.0,Rest,
0.072,509.0,503.0,Rest,
0.072,504.0,505.0,Rest,
0.072,500.0,505.0,Rest,
0.072,497.0,505.0,Rest,
0.072,497.0,503.0,Rest,
0.073,496.0,500.0,Rest,
0.073,494.0,496.0,Rest,
0.073,492.0,495.0,Rest,
0.073,491.0,496.0,Rest,
0.073,491.0,496.0,Rest,
0.073,489.0,496.0,Rest,
0.073,489.0,496.0,Rest,
0.073,490.0,497.0,Rest,
0.073,491.0,498.0,Rest,
0.073,494.0,500.0,Rest,
0.073,498.0,500.0,Rest,
0.073,501.0,499.0,Rest,
0.073,503.0,497.0,Rest,
0.074,505.0,495.0,Rest,
0.074,504.0,492.0,Rest,
0.074,503.0,491.0,Rest,
0.074,501.0,491.0,Rest,
0.074,500.0,493.0,Rest,
0.074,500.0,494.0,Rest,
0.074,500.0,495.0,Rest,
0.074,502.0,496.0,Rest,
0.074,503.0,496.0,Rest,
0.074,506.0,497.0,Rest,
0.074,510.0,497.0,Rest,
0.074,512.0,494.0,Rest,
0.075,512.0,492.0,Rest,
0.075,513.0,489.0,Rest,
0.075,513.0,487.0,Rest,
0.075,511.0,487.0,Rest,
0.075,509.0,487.0,Rest,
0.075,506.0,488.0,Rest,
0.075,507.0,490.0,Rest,
0.075,508.0,492.0,Rest,
0.075,508.0,494.0,Rest,
0.075,509.0,495.0,Rest,
0.075,510.0,496.0,Rest,
0.075,512.0,495.0,Rest,
0.076,514.0,493.0,Rest,
0.076,516.0,492.0,Rest,
0.076,516.0,489.0,Rest,
0.076,514.0,488.0,Rest,
0.076,511.0,488.0,Rest,
0.076,508.0,488.0,Rest,
0.076,506.0,490.0,Rest,
0.076,506.0,491.0,Rest,
0.076,506.0,491.0,Rest,
0.076,507.0,493.0,Rest,
0.076,509.0,495.0,Rest,
0.076,512.0,497.0,Rest,
0.076,514.0,498.0,Rest,
0.077,516.0,498.0,Rest,
0.077,518.0,496.0,Rest,
0.077,518.0,495.0,Rest,
0.077,515.0,494.0,Rest,
0.077,512.0,494.0,Rest,
0.077,510.0,497.0,Rest,
0.077,510.0,498.0,Rest,
0.077,510.0,499.0,Rest,
0.077,511.0,500.0,Rest,
0.077,511.0,504.0,Rest,
0.077,513.0,504.0,Rest,
0.077,516.0,507.0,Rest,
0.078,519.0,508.0,Rest,
0.078,521.0,507.0,Rest,
0.078,522.0,506.0,Rest,
0.078,521.0,503.0,Rest,
0.078,519.0,501.0,Rest,
0.078,517.0,503.0,Rest,
0.078,515.0,504.0,Rest,
0.078,514.0,506.0,Rest,
0.078,514.0,506.0,Rest,
0.078,513.0,508.0,Rest,
0.078,513.0,509.0,Rest,
0.078,514.0,510.0,Rest,
0.078,516.0,511.0,Rest,
0.079,518.0,510.0,Rest,
0.079,520.0,508.0,Rest,
0.079,521.0,504.0,Rest,
0.079,521.0,502.0,Rest,
0.079,518.0,499.0,Rest,
0.079,516.0,500.0,Rest,
0.079,515.0,500.0,Rest,
0.079,514.0,500.0,Rest,
0.079,514.0,502.0,Rest,
0.079,516.0,502.0,Rest,
0.079,515.0,504.0,Rest,
0.079,516.0,505.0,Rest,
0.08,519.0,507.0,Rest,
0.08,521.0,507.0,Rest,
0.08,522.0,505.0,Rest,
0.08,522.0,503.0,Rest,
0.08,520.0,501.0,Rest,
0.08,517.0,501.0,Rest,
0.08,515.0,500.0,Rest,
0.08,513.0,500.0,Rest,
0.08,512.0,501.0,Rest,
0.08,512.0,504.0,Rest,
0.08,513.0,507.0,Rest,
0.08,514.0,508.0,Rest,
0.08,516.0,511.0,Rest,
0.08,519.0,513.0,Rest,
0.08,521.0,512.0,Rest,
0.08,523.0,510.0,Rest,
0.08,523.0,509.0,Rest,
0.08,521.0,507.0,Rest,
0.08,519.0,508.0,Rest,
0.08,515.0,509.0,Rest,
0.082,513.0,510.0,Rest,
0.082,513.0,511.0,Rest,
0.082,513.0,514.0,Rest,
0.082,513.0,516.0,Rest,
0.082,515.0,519.0,Rest,
0.082,516.0,521.0,Rest,
0.082,519.0,523.0,Rest,
0.082,519.0,521.0,Rest,
0.082,518.0,520.0,Rest,
0.082,517.0,517.0,Rest,
0.082,515.0,516.0,Rest,
0.082,511.0,516.0,Rest,
0.083,508.0,518.0,Rest,
0.083,508.0,519.0,Rest,
0.083,509.0,521.0,Rest,
0.083,510.0,523.0,Rest,
0.083,510.0,524.0,Rest,
0.083,512.0,525.0,Rest,
0.083,515.0,525.0,Rest,
0.083,518.0,525.0,Rest,
0.083,520.0,525.0,Rest,
0.083,520.0,523.0,Rest,
0.083,519.0,520.0,Rest,
0.083,516.0,518.0,Rest,
0.083,512.0,517.0,Rest,
0.084,509.0,517.0,Rest,
0.084,507.0,518.0,Rest,
0.084,506.0,519.0,Rest,
0.084,506.0,521.0,Rest,
0.084,506.0,523.0,Rest,
0.084,506.0,523.0,Rest,
0.084,507.0,524.0,Rest,
0.084,509.0,524.0,Rest,
0.084,511.0,523.0,Rest,
0.084,513.0,522.0,Rest,
0.084,512.0,519.0,Rest,
0.084,509.0,516.0,Rest,
0.085,506.0,514.0,Rest,
0.085,505.0,514.0,Rest,
0.085,504.0,515.0,Rest,
0.085,504.0,518.0,Rest,
0.085,503.0,519.0,Rest,
0.085,502.0,519.0,Rest,
0.085,504.0,520.0,Rest,
0.085,507.0,521.0,Rest,
0.085,510.0,521.0,Rest,
0.085,513.0,518.0,Rest,
0.085,514.0,515.0,Rest,
0.085,513.0,515.0,Rest,
0.085,510.0,513.0,Rest,
0.086,508.0,513.0,Rest,
0.086,505.0,513.0,Rest,
0.086,503.0,515.0,Rest,
0.086,503.0,516.0,Rest,
0.086,504.0,517.0,Rest,
0.086,505.0,518.0,Rest,
0.086,506.0,521.0,Rest,
0.086,509.0,521.0,Rest,
0.086,511.0,521.0,Rest,
0.086,513.0,519.0,Rest,
0.086,513.0,516.0,Rest,
0.086,512.0,516.0,Rest,
0.087,509.0,516.0,Rest,
0.087,508.0,517.0,Rest,
0.087,506.0,519.0,Rest,
0.087,504.0,520.0,Rest,
0.087,505.0,520.0,Rest,
0.087,505.0,522.0,Rest,
0.087,507.0,524.0,Rest,
0.087,509.0,525.0,Rest,
0.087,511.0,526.0,Rest,
0.087,513.0,526.0,Rest,
0.087,514.0,526.0,Rest,
0.087,513.0,523.0,Rest,
0.087,512.0,521.0,Rest,
0.088,510.0,520.0,Rest,
0.088,509.0,521.0,Rest,
0.088,508.0,521.0,Rest,
0.088,507.0,523.0,Rest,
0.088,506.0,523.0,Rest,
0.088,506.0,524.0,Rest,
0.088,505.0,526.0,Rest,
0.088,507.0,527.0,Rest,
0.088,511.0,527.0,Rest,
0.088,515.0,526.0,Rest,
0.088,516.0,524.0,Rest,
0.088,517.0,522.0,Rest,
0.089,516.0,522.0,Rest,
0.089,512.0,524.0,Rest,
0.089,508.0,524.0,Rest,
0.089,507.0,525.0,Rest,
0.089,506.0,526.0,Rest,
0.089,506.0,526.0,Rest,
0.089,505.0,527.0,Rest,
0.089,506.0,528.0,Rest,
0.089,510.0,529.0,Rest,
0.089,514.0,529.0,Rest,
0.089,516.0,527.0,Rest,
0.089,516.0,526.0,Rest,
0.089,515.0,524.0,Rest,
0.09,513.0,522.0,Rest,
0.09,511.0,522.0,Rest,
0.09,509.0,523.0,Rest,
0.09,507.0,523.0,Rest,
0.09,506.0,525.0,Rest,
0.09,505.0,526.0,Rest,
0.09,504.0,527.0,Rest,
0.09,505.0,529.0,Rest,
0.09,506.0,530.0,Rest,
0.09,508.0,533.0,Rest,
0.09,511.0,533.0,Rest,
0.09,512.0,532.0,Rest,
0.091,512.0,530.0,Rest,
0.091,511.0,529.0,Rest,
0.091,510.0,530.0,Rest,
0.091,508.0,532.0,Rest,
0.091,508.0,534.0,Rest,
0.091,508.0,536.0,Rest,
0.091,508.0,537.0,Rest,
0.091,508.0,539.0,Rest,
0.091,510.0,541.0,Rest,
0.091,510.0,542.0,Rest,
0.091,514.0,541.0,Rest,
0.091,517.0,539.0,Rest,
0.091,518.0,537.0,Rest,
0.092,517.0,534.0,Rest,
0.092,513.0,535.0,Rest,
0.092,510.0,534.0,Rest,
0.092,508.0,534.0,Rest,
0.092,508.0,534.0,Rest,
0.092,507.0,534.0,Rest,
0.092,507.0,534.0,Rest,
0.092,506.0,535.0,Rest,
0.092,508.0,536.0,Rest,
0.092,509.0,537.0,Rest,
0.092,511.0,535.0,Rest,
0.092,513.0,534.0,Rest,
0.093,514.0,531.0,Rest,
0.093,513.0,526.0,Rest,
0.093,512.0,524.0,Rest,
0.093,511.0,524.0,Rest,
0.093,509.0,526.0,Rest,
0.093,509.0,527.0,Rest,
0.093,510.0,528.0,Rest,
0.093,509.0,529.0,Rest,
0.093,509.0,529.0,Rest,
0.093,512.0,530.0,Rest,
0.093,514.0,528.0,Rest,
0.093,517.0,528.0,Rest,
0.093,520.0,527.0,Rest,
0.094,519.0,526.0,Rest,
0.094,518.0,524.0,Rest,
0.094,515.0,523.0,Rest,
0.094,515.0,522.0,Rest,
0.094,513.0,522.0,Rest,
0.094,513.0,524.0,Rest,
0.094,513.0,524.0,Rest,
0.094,514.0,525.0,Rest,
0.094,515.0,527.0,Rest,
0.094,516.0,529.0,Rest,
0.094,518.0,530.0,Rest,
0.094,521.0,530.0,Rest,
0.095,523.0,527.0,Rest,
0.095,524.0,526.0,Rest,
0.095,522.0,524.0,Rest,
0.095,519.0,521.0,Rest,
0.095,518.0,521.0,Rest,
0.095,517.0,521.0,Rest,
0.095,516.0,522.0,Rest,
0.095,515.0,523.0,Rest,
0.095,515.0,524.0,Rest,
0.095,516.0,524.0,Rest,
0.095,516.0,525.0,Rest,
0.095,518.0,527.0,Rest,
0.095,520.0,526.0,Rest,
0.096,521.0,524.0,Rest,
0.096,522.0,521.0,Rest,
0.096,521.0,519.0,Rest,
0.096,520.0,518.0,Rest,
0.096,519.0,518.0,Rest,
0.096,517.0,519.0,Rest,
0.096,516.0,520.0,Rest,
0.096,517.0,519.0,Rest,
0.096,517.0,519.0,Rest,
0.096,518.0,520.0,Rest,
0.096,522.0,521.0,Rest,
0.096,524.0,520.0,Rest,
0.097,526.0,519.0,Rest,
0.097,526.0,518.0,Rest,
0.097,525.0,516.0,Rest,
0.097,523.0,513.0,Rest,
0.097,522.0,511.0,Rest,
0.097,518.0,511.0,Rest,
0.097,516.0,512.0,Rest,
0.097,515.0,514.0,Rest,
0.097,516.0,515.0,Rest,
0.097,515.0,516.0,Rest,
0.097,516.0,518.0,Rest,
0.097,518.0,519.0,Rest,
0.097,520.0,519.0,Rest,
0.098,522.0,518.0,Rest,
0.098,523.0,517.0,Rest,
0.098,522.0,514.0,Rest,
0.098,520.0,514.0,Rest,
0.098,517.0,513.0,Rest,
0.098,516.0,514.0,Rest,
0.098,514.0,514.0,Rest,
0.098,512.0,516.0,Rest,
0.098,513.0,516.0,Rest,
0.098,515.0,517.0,Rest,
0.098,516.0,518.0,Rest,
0.098,519.0,518.0,Rest,
0.099,523.0,517.0,Rest,
0.099,525.0,515.0,Rest,
0.099,525.0,511.0,Rest,
0.099,525.0,507.0,Rest,
0.099,521.0,504.0,Rest,
0.099,520.0,503.0,Rest,
0.099,518.0,502.0,Rest,
0.099,518.0,501.0,Rest,
0.099,517.0,502.0,Rest,
0.099,516.0,502.0,Rest,
0.099,516.0,502.0,Rest,
0.099,516.0,504.0,Rest,
0.099,518.0,505.0,Rest,
0.1,520.0,504.0,Rest,
0.1,522.0,503.0,Rest,
0.1,522.0,500.0,Rest,
0.1,521.0,498.0,Rest,
0.1,518.0,499.0,Rest,
0.1,517.0,499.0,Rest,
0.1,515.0,501.0,Rest,
0.1,513.0,502.0,Rest,
0.1,513.0,505.0,Rest,
0.1,515.0,507.0,Rest,
0.1,516.0,510.0,Rest,
0.1,519.0,512.0,Rest,
0.101,521.0,512.0,Rest,
0.101,524.0,511.0,Rest,
0.101,526.0,509.0,Rest,
0.101,528.0,506.0,Rest,
0.101,528.0,504.0,Rest,
0.101,527.0,503.0,Rest,
0.101,525.0,505.0,Rest,
0.101,522.0,506.0,Rest,
0.101,520.0,508.0,Rest,
0.101,521.0,510.0,Rest,
0.101,521.0,512.0,Rest,
0.101,520.0,513.0,Rest,
0.101,519.0,515.0,Rest,
0.102,520.0,515.0,Rest,
0.102,521.0,514.0,Rest,
0.102,522.0,511.0,Rest,
0.102,522.0,509.0,Rest,
0.102,521.0,506.0,Rest,
0.102,518.0,504.0,Rest,
0.102,515.0,503.0,Rest,
0.102,514.0,504.0,Rest,
0.102,514.0,505.0,Rest,
0.102,513.0,506.0,Rest,
0.102,515.0,507.0,Rest,
0.102,515.0,508.0,Rest,
0.103,516.0,508.0,Rest,
0.103,517.0,507.0,Rest,
0.103,520.0,508.0,Rest,
0.103,520.0,505.0,Rest,
0.103,519.0,504.0,Rest,
0.103,516.0,502.0,Rest,
0.103,515.0,503.0,Rest,
0.103,513.0,504.0,Rest,
0.103,511.0,505.0,Rest,
0.103,509.0,507.0,Rest,
0.103,509.0,510.0,Rest,
0.103,509.0,511.0,Rest,
0.103,510.0,512.0,Rest,
