Timestamp,Channel1,Channel2,Action1,Action2
0.001,518.0,479.0,Rest,
0.153,517.0,480.0,Rest,
0.154,518.0,478.0,Rest,
0.154,517.0,474.0,Rest,
0.154,517.0,471.0,Rest,
0.155,518.0,469.0,Rest,
0.155,518.0,469.0,Rest,
0.155,519.0,470.0,Rest,
0.155,519.0,471.0,Rest,
0.156,519.0,473.0,Rest,
0.156,520.0,475.0,Rest,
0.156,520.0,477.0,Rest,
0.156,520.0,478.0,Rest,
0.156,521.0,480.0,Rest,
0.157,521.0,482.0,Rest,
0.157,521.0,485.0,Rest,
0.157,521.0,488.0,Rest,
0.157,521.0,490.0,Rest,
0.157,521.0,493.0,Rest,
0.157,521.0,494.0,Rest,
0.158,521.0,495.0,Rest,
0.158,520.0,493.0,Rest,
0.158,520.0,493.0,Rest,
0.158,519.0,498.0,Rest,
0.158,518.0,505.0,Rest,
0.158,518.0,510.0,Rest,
0.159,516.0,512.0,Rest,
0.159,517.0,511.0,Rest,
0.159,517.0,513.0,Rest,
0.159,517.0,515.0,Rest,
0.159,518.0,513.0,Rest,
0.16,518.0,511.0,Rest,
0.16,519.0,502.0,Rest,
0.16,519.0,488.0,Rest,
0.16,519.0,480.0,Rest,
0.16,520.0,482.0,Rest,
0.16,520.0,487.0,Rest,
0.161,520.0,492.0,Rest,
0.161,520.0,496.0,Rest,
0.161,520.0,500.0,Rest,
0.161,520.0,504.0,Rest,
0.161,520.0,509.0,Rest,
0.162,522.0,514.0,Rest,
0.162,524.0,512.0,Rest,
0.162,525.0,502.0,Rest,
0.162,526.0,496.0,Rest,
0.162,526.0,495.0,Rest,
0.162,525.0,494.0,Rest,
0.162,525.0,493.0,Rest,
0.163,524.0,492.0,Rest,
0.163,524.0,491.0,Rest,
0.163,525.0,491.0,Rest,
0.163,525.0,490.0,Rest,
0.163,524.0,491.0,Rest,
0.164,524.0,491.0,Rest,
0.164,525.0,493.0,Rest,
0.164,525.0,495.0,Rest,
0.164,525.0,498.0,Rest,
0.164,525.0,499.0,Rest,
0.164,525.0,500.0,Rest,
0.165,525.0,502.0,Rest,
0.165,524.0,505.0,Rest,
0.165,523.0,511.0,Rest,
0.165,522.0,519.0,Rest,
0.165,523.0,525.0,Rest,
0.165,523.0,530.0,Rest,
0.165,524.0,534.0,Rest,
0.167,523.0,537.0,Rest,
0.167,522.0,536.0,Rest,
0.167,522.0,529.0,Rest,
0.167,522.0,517.0,Rest,
0.167,521.0,507.0,Rest,
0.167,520.0,502.0,Rest,
0.167,518.0,499.0,Rest,
0.167,518.0,499.0,Rest,
0.167,517.0,500.0,Rest,
0.167,518.0,503.0,Rest,
0.167,517.0,506.0,Rest,
0.169,516.0,509.0,Rest,
0.169,516.0,509.0,Rest,
0.169,516.0,507.0,Rest,
0.169,517.0,506.0,Rest,
0.169,516.0,506.0,Rest,
0.169,516.0,507.0,Rest,
0.169,516.0,509.0,Rest,
0.169,516.0,516.0,Rest,
0.169,516.0,521.0,Rest,
