Timestamp,Channel1,Channel2,Action1,Action2
0.002,750.0,584.0,Rest,
0.003,121.0,400.0,Rest,
0.003,853.0,657.0,Rest,
0.003,5.0,309.0,Rest,
0.003,921.0,672.0,Rest,
0.003,5.0,306.0,Rest,
0.003,950.0,690.0,Rest,
0.003,5.0,270.0,Rest,
0.003,930.0,694.0,Rest,
0.003,16.0,292.0,Rest,
0.003,875.0,703.0,Rest,
0.003,105.0,315.0,Rest,
0.003,798.0,666.0,Rest,
0.007,278.0,385.0,Rest,
0.007,669.0,615.0,Rest,
0.007,450.0,466.0,Rest,
0.007,470.0,562.0,Rest,
0.007,609.0,539.0,Rest,
0.007,253.0,465.0,Rest,
0.007,743.0,623.0,Rest,
0.007,56.0,363.0,Rest,
0.007,844.0,642.0,Rest,
0.007,5.0,347.0,Rest,
0.007,914.0,664.0,Rest,
0.007,5.0,269.0,Rest,
0.007,936.0,714.0,Rest,
0.007,5.0,329.0,Rest,
0.007,931.0,780.0,Rest,
0.007,30.0,367.0,Rest,
0.007,885.0,705.0,Rest,
0.007,140.0,392.0,Rest,
0.007,801.0,699.0,Rest,
0.007,319.0,444.0,Rest,
0.007,662.0,648.0,Rest,
0.007,496.0,502.0,Rest,
0.007,474.0,562.0,Rest,
0.007,662.0,578.0,Rest,
0.007,268.0,453.0,Rest,
0.007,794.0,598.0,Rest,
0.007,78.0,383.0,Rest,
0.007,893.0,669.0,Rest,
0.007,5.0,338.0,Rest,
0.007,953.0,689.0,Rest,
0.007,5.0,289.0,Rest,
0.007,981.0,716.0,Rest,
0.007,5.0,257.0,Rest,
0.007,968.0,704.0,Rest,
0.007,53.0,310.0,Rest,
0.013,927.0,689.0,Rest,
0.013,188.0,353.0,Rest,
0.013,843.0,657.0,Rest,
0.013,379.0,424.0,Rest,
0.013,687.0,605.0,Rest,
0.013,555.0,468.0,Rest,
0.013,479.0,520.0,Rest,
0.014,707.0,535.0,Rest,
0.014,263.0,425.0,Rest,
0.014,840.0,620.0,Rest,
0.014,75.0,360.0,Rest,
0.014,934.0,657.0,Rest,
0.014,5.0,310.0,Rest,
0.014,991.0,690.0,Rest,
0.014,5.0,280.0,Rest,
0.014,1008.0,716.0,Rest,
0.014,12.0,282.0,Rest,
0.014,979.0,710.0,Rest,
0.014,86.0,275.0,Rest,
0.014,915.0,698.0,Rest,
0.014,235.0,385.0,Rest,
0.014,796.0,641.0,Rest,
0.014,414.0,430.0,Rest,
0.014,611.0,572.0,Rest,
0.014,577.0,492.0,Rest,
