Timestamp,Channel1,Channel2,Action1,Action2
0.0,509.0,509.0,Rest,
0.064,509.0,510.0,Rest,
0.064,511.0,512.0,Rest,
0.064,511.0,514.0,Rest,
0.064,510.0,516.0,Rest,
0.064,512.0,517.0,Rest,
0.064,514.0,517.0,Rest,
0.064,514.0,517.0,Rest,
0.064,512.0,518.0,Rest,
0.064,511.0,518.0,Rest,
0.064,509.0,518.0,Rest,
0.065,508.0,517.0,Rest,
0.065,506.0,516.0,Rest,
0.065,507.0,515.0,Rest,
0.065,508.0,515.0,Rest,
0.065,510.0,516.0,Rest,
0.065,513.0,517.0,Rest,
0.065,515.0,518.0,Rest,
0.065,517.0,520.0,Rest,
0.065,517.0,519.0,Rest,
0.065,517.0,519.0,Rest,
0.065,515.0,518.0,Rest,
0.065,514.0,516.0,Rest,
0.066,513.0,514.0,Rest,
0.066,509.0,512.0,Rest,
0.066,509.0,511.0,Rest,
0.066,509.0,510.0,Rest,
0.066,507.0,512.0,Rest,
0.066,510.0,513.0,Rest,
0.066,509.0,514.0,Rest,
0.066,508.0,513.0,Rest,
0.066,508.0,513.0,Rest,
0.066,509.0,512.0,Rest,
0.066,510.0,511.0,Rest,
0.066,511.0,509.0,Rest,
0.067,513.0,509.0,Rest,
0.067,512.0,508.0,Rest,
0.067,511.0,506.0,Rest,
0.067,510.0,504.0,Rest,
0.067,507.0,503.0,Rest,
0.067,507.0,504.0,Rest,
0.067,509.0,507.0,Rest,
0.067,512.0,510.0,Rest,
0.067,512.0,513.0,Rest,
0.067,512.0,516.0,Rest,
0.067,511.0,516.0,Rest,
0.067,509.0,511.0,Rest,
0.068,511.0,508.0,Rest,
0.068,512.0,506.0,Rest,
0.068,516.0,504.0,Rest,
0.068,519.0,504.0,Rest,
0.068,518.0,503.0,Rest,
0.068,518.0,503.0,Rest,
0.068,515.0,504.0,Rest,
0.068,513.0,506.0,Rest,
0.068,514.0,509.0,Rest,
0.068,514.0,511.0,Rest,
0.068,516.0,511.0,Rest,
0.068,517.0,511.0,Rest,
0.069,516.0,510.0,Rest,
0.069,514.0,510.0,Rest,
0.069,508.0,509.0,Rest,
0.069,507.0,508.0,Rest,
0.069,510.0,507.0,Rest,
0.069,514.0,506.0,Rest,
0.069,514.0,507.0,Rest,
0.069,511.0,508.0,Rest,
0.069,507.0,509.0,Rest,
0.069,503.0,510.0,Rest,
0.069,501.0,512.0,Rest,
0.069,499.0,513.0,Rest,
0.07,499.0,514.0,Rest,
0.07,501.0,514.0,Rest,
0.07,504.0,515.0,Rest,
0.07,508.0,514.0,Rest,
0.07,514.0,512.0,Rest,
0.07,517.0,510.0,Rest,
0.07,518.0,511.0,Rest,
0.07,517.0,511.0,Rest,
0.07,512.0,511.0,Rest,
0.07,508.0,512.0,Rest,
0.07,505.0,514.0,Rest,
0.07,503.0,515.0,Rest,
0.07,501.0,514.0,Rest,
0.071,502.0,515.0,Rest,
0.071,505.0,514.0,Rest,
0.071,506.0,513.0,Rest,
0.071,510.0,512.0,Rest,
0.071,514.0,511.0,Rest,
0.071,517.0,509.0,Rest,
0.071,519.0,509.0,Rest,
0.071,519.0,508.0,Rest,
0.071,515.0,507.0,Rest,
0.071,510.0,509.0,Rest,
0.071,507.0,511.0,Rest,
0.071,504.0,512.0,Rest,
0.072,502.0,512.0,Rest,
0.072,504.0,512.0,Rest,
0.072,506.0,513.0,Rest,
0.072,507.0,514.0,Rest,
0.072,511.0,513.0,Rest,
0.072,516.0,512.0,Rest,
0.072,519.0,511.0,Rest,
0.072,519.0,509.0,Rest,
0.072,517.0,506.0,Rest,
0.072,514.0,508.0,Rest,
0.072,511.0,509.0,Rest,
0.072,507.0,511.0,Rest,
0.073,504.0,512.0,Rest,
0.073,503.0,513.0,Rest,
