Timestamp,Channel1,Channel2,Action1,Action2
0.0,1019.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,1019.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,1.0,1021.0,Rest,
0.0,1021.0,0.0,Rest,
0.0,0.0,1021.0,Rest,
0.0,1021.0,0.0,Rest,
0.0,5.0,1021.0,Rest,
0.0,1022.0,0.0,Rest,
0.0,1021.0,1021.0,Rest,
0.0,164.0,0.0,Rest,
0.0,1022.0,1020.0,Rest,
0.0,2.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1022.0,1020.0,Rest,
0.0,0.0,953.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,1021.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,1021.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1021.0,1021.0,Rest,
0.0,1021.0,0.0,Rest,
0.0,1022.0,1020.0,Rest,
0.0,1021.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,1019.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1021.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1021.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,1.0,1019.0,Rest,
0.0,1021.0,1019.0,Rest,
0.0,0.0,1021.0,Rest,
0.0,1021.0,0.0,Rest,
0.0,0.0,1021.0,Rest,
0.0,1021.0,0.0,Rest,
0.0,5.0,1021.0,Rest,
0.0,1021.0,0.0,Rest,
0.0,1021.0,1020.0,Rest,
0.0,1014.0,0.0,Rest,
0.0,1021.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1021.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1021.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1021.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,1019.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,1021.0,Rest,
0.0,1022.0,0.0,Rest,
0.0,1020.0,1022.0,Rest,
0.0,1021.0,0.0,Rest,
0.0,1021.0,1021.0,Rest,
0.0,1021.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,1021.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,1018.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,1.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
0.0,0.0,0.0,Rest,
0.0,1022.0,1019.0,Rest,
